"addon"
{
	"DOTA_GoodGuys"   								"Good Guys"
	"DOTA_BadGuys"    								"Bad Guys"	

	"addon_game_name"			"Comic's Heroes Wars"
	"ADDON_GAME_NAME"			"Comic's Heroes Wars"
	"addon_update"													""
	"addonname"										"Comic's Heroes Wars"
	"DOTA_GameMode_15"	"Comic's Heroes Wars"
	"overthrow_game_info_header_objective"			"Goal:"
	"overthrow_brief_description"					"The first is of course the victory. Carefully Pick up characters, each character good vs other."
	"overthrow_game_info_header_how_to_play"		"Basic moments:"
	"overthrow_game_info_throne"					"This map shows the places where every 540 seconds appear trunks, chests may fall out of various goodies."
	"overthrow_game_info_coins"						"Kill YAZ'..."
	"overthrow_game_info_items"						"...and gets the most powerful artifact - the Infinity Gauntlet."
	"overthrow_game_info_tips_header"				"About misc:"
	"overthrow_game_info_tip01"						"The first is of course the victory. Carefully Pick up characters, each character good vs other. Your team must be a tank, otherwise it will be very sad. BKB can always sell and update."
	"overthrow_game_info_tip02"						"Any hero locked with another hero."
	"overthrow_game_info_tip03"						"BKB can always sell and update."
	"overthrow_game_info_tip04"						""
	"Credits_Author"				"Author: PG.Freeman"
	"Credits_Beta"					"Design: The Monster"
	"Credits_Tester"				"Balance: Yarito"
	"chests_can_respawn"			"Disable chests"
	"yaz_can_respawn"				"Yaz' can respawn"
	"courier"						"Free courier"
	"gold"							"Starting Gold:"
	"waiting"						"Waiting for all players."
	"overthrow_game_info_damages"							"About damage types in Comics Heroes Wars:"
	"overthrow_game_info_damage_tip01"						"Damage Type:<font color=\"#70EA72\"> HP REMOVAL</font>, very rare type of damage. It reduces health ignoring such abilities as enRage, as well as invulnerability. Fixing health does not work for this type of damage."
	"overthrow_game_info_damage_tip02"						"Damage Type:<font color=\"#FFFF00\"> MENTHAL</font>, similar to hp removal, he breaks invulnerability, no fixation on health."
	"overthrow_game_info_damage_tip03"						"Damage Type:<font color=\"#FF0000\"> PURE</font>, This type of damage, which does not diminish the magic resistance and is reinforced by the subjects or the ability to increase spell damage, but can be blocked or reduced abilities such as OUTER RIM and ENRAGE."
	"overthrow_game_info_damage_tip04"						"Damage Type:<font color=\"#A020F0\"> MAGICAL</font> Done cause most faculties. This damage reduces the resistance of magic and can not be applied to units with magic immunity. Goals also found in ghostly form, will receive 1.4 times more damage."
	"overthrow_game_info_damage_tip05"						"Damage Type:<font color=\"#008B8B\"> COMPOSITE</font> It combines the <font color=\"#A020F0\">nagical</font> и <font color=\"#3A5FCD\">physical</font> types of damage. This damage varies armor, blocking damage and reduced mag.rezistom which give some items and abilities."
	"overthrow_game_info_damage_tip06"						"Damage Type:<font color=\"#3A5FCD\"> PHYSICAL</font> damage toll in the usual attack of all units in the game, as well as some spells. This damage and the damage varies armor lock, which give some items and abilities, but it does not affect magic resistance or invulnerability to her, but at the same time it can not be caused to units located in ghostly form."
	"Points"										"Points: "
	"Damage"										"Damage"
	"dota_glyph_tooltip"							"Glyph<br>Active: Applys complited immortality to all building."
	"dota_shop_tooltip"								"Press, to open shop"
	"site"											"https://vk.com/dota2chw"

	"enabled"									" Enabled"
	"disabled"									" Disabled"

	"LoadInfo_1"									"Welcome to the Comics Heroes Wars 3.3! \nTo get in-game cosmetic items or a Battle Pass for donations, contact me by mail or in a discord. freeman18228@mail.ru \nhttps://discord.gg/hzteZa"

	"cm_mode"									"Enable Captain's Mode"
	"Selection"								"Pick your hero in picks menu"
	"scroll"										"Buy Portal Scroll"

	"inCour"										"Your item delivered to the courier"
	"inBase"										"Your item delivered to the base"

	"new_npc_dota_hero_antimage"		 "Daredevil" 
	"new_npc_dota_hero_lycan"  "Wolverine" 
	"new_npc_dota_hero_tidehunter" "HULK" 
	"new_npc_dota_hero_zuus"     "Zeus"
	"new_npc_dota_hero_omniknight"     "Thor"
	"new_npc_dota_hero_chaos_knight"     "Ghost Rider"
	"new_npc_dota_hero_silencer"          "Magneto"
	"new_npc_dota_hero_windrunner"      "Hela"
	"new_npc_dota_hero_invoker"          "Collector"
	"new_npc_dota_hero_elder_titan"          "Thanos"
	"new_npc_dota_hero_crystal_maiden"          "Jaina"
	"new_npc_dota_hero_enigma"          "Infinity"
	"new_npc_dota_hero_arc_warden"          "Eternity"
	"new_npc_dota_hero_terrorblade"          "Galactus"
	"new_npc_dota_hero_skeleton_king"        "Lich King"
	"new_npc_dota_hero_bloodseeker"          "Flash"
	"new_npc_dota_hero_beastmaster"          "Draxx"
	"new_npc_dota_hero_brewmaster"          "Gambit"
	"new_npc_dota_hero_ember_spirit"          "Golden God"
	"new_npc_dota_hero_juggernaut"          "Atomic Samurai"
	"new_npc_dota_hero_storm_spirit"          "Green Lantern"
	"new_npc_dota_hero_earth_spirit"          "BEAST"
	"new_npc_dota_hero_rattletrap"               "Iron Man"
	"new_npc_dota_hero_rubick"	      "Loki"
	"new_npc_dota_hero_axe"	      "RULK"
	"new_npc_dota_hero_lina"                "Phoenix"
	"new_npc_dota_hero_dazzle"      "Joker"
	"new_npc_dota_hero_meepo"      "Master Shifu"
	"new_npc_dota_hero_necrolyte"      "Emperor Palpatine"
	"npc_dota_hero_ghost"			"Ghost"
	"new_npc_dota_hero_ghost"			"Ghost"
	"npc_dota_hero_superman"			"Superman"
	"new_npc_dota_hero_superman"			"Superman"
	"npc_dota_hero_molag_bal"			"Molag Bal"
	"new_npc_dota_hero_molag_bal"			"Molag Bal"
	"new_npc_dota_hero_pudge"               "BUTCHER"
	"new_npc_dota_hero_obsidian_destroyer"  "Living Tribunal"
	"new_npc_dota_hero_dark_seer"  "Outsider"
	"new_npc_dota_hero_sniper"  "Rocket"
	"npc_dota_warlock_golem_1"   "YAZ'"
	"new_npc_dota_hero_faceless_void" "Byonder"
	"npc_dota_warlock_golem_2"   "Astral Ghost"
	"npc_dota_warlock_golem_scepter_1"  "Demon"
	"npc_dota_warlock_golem_3"   "Demon"
	"new_npc_dota_hero_night_stalker" "Black Bolt"
	"new_npc_dota_hero_pugna" "Helspont"
	"new_npc_dota_hero_shadow_demon" "Sargeras"
	"new_npc_dota_hero_life_stealer" "Doomsday"
	"npc_dota_warlock_golem_scepter_3" "ROSHAN"
	"new_npc_dota_hero_treant" "Groot"
	"new_npc_dota_hero_lone_druid"     "Darkseid"
	"new_npc_dota_hero_kunkka"     "Dr.Strange"
	"new_npc_dota_hero_ursa"    	 "Ursa Warrior"
	"new_npc_dota_hero_sven"    	 "Apocalypse"
	"new_npc_dota_hero_spectre"		"Sentinel Spectre"
	"new_npc_dota_hero_alchemist"			"Batman"
	"new_npc_dota_hero_ancient_apparition"    "Quicksilver"
	"new_npc_dota_hero_templar_assassin"		"Scarlet Witch"
	"new_npc_dota_hero_clinkz"		"Steppenwolf"
	"new_npc_dota_hero_miraak"		"Miraak"
	"new_npc_dota_hero_weaver"		"Reverse Flash"
	"new_npc_dota_hero_venomancer" "Venom"
	"new_npc_dota_hero_oracle"				"Oblivion"
	"new_npc_dota_hero_tinker" "Ant Man"
	"new_npc_dota_hero_troll_warlord" "Ronan"
	"new_npc_dota_hero_razor" 		"Zoom"
	"npc_dota_broodmother_spiderling" "Ant"
	"new_npc_dota_hero_vengefulspirit" "Rough"
	"new_npc_dota_hero_legion_commander" "Capitan Marvel"
	"npc_imba_necronomicon_archer_4"	"Murlock"
	"npc_imba_necronomicon_warrior_4"	"Warrior"
	"new_npc_dota_hero_nevermore"				"Deadpool"
	"new_npc_dota_hero_tusk"  "Po"
	"new_npc_dota_hero_skywrath_mage" "One-punch man"
	"new_npc_dota_hero_dragon_knight"	"Captain America"
	"new_npc_dota_hero_spirit_breaker"	"DeathStroke"
	"new_npc_dota_hero_viper"		"Ebony Maw"
	"npc_dota_warlock_golem_scepter_2"	"Golem"
	"npc_dota_venom_small"				"Infected"
	"npc_lich_zombie"					"Undead"
	"new_npc_dota_hero_bane"				"NightBringer"
	"new_npc_dota_hero_slark"				"Murloc"
	"new_npc_dota_hero_doom_bringer"		"Doctor Doom"
	"new_npc_dota_hero_undying"				"Doctor Manhattan"
	"new_npc_dota_hero_magnataur"			"Black Panther"
	"new_npc_dota_hero_riki"				"Spiderman"
	"new_npc_dota_hero_mirana"				"Catwoman"
	"new_npc_dota_hero_dark_rider"				"Dark rider"
	"new_npc_dota_hero_furion"				"Gaunter O'Dimm"
	"new_npc_dota_hero_sand_king"			"Ostarion"
	"npc_night_king_zombie"					"Undead"
	"new_npc_dota_hero_lich"				"Medivh"
